f_id,f_name,settlement_date,CT_Area,Owned_Leased,Species_Rich,Purchase_Price,Planting_Year,Arch_Sites,Fish_Spawning,Reg_Success
810,Sharphurst,11/02/2022,1483.734,Owned,13,"$8,600,834.98",1997,FALSE,TRUE,118
800,Masters,21/02/2022,2514.7193,Leased,27,"$5,187,163.67",2012,TRUE,TRUE,98
312,Highwood,8/04/2022,1272.2528,Owned,48,"$976,912.99",1993,TRUE,FALSE,98
402,Grievson,21/06/2022,1523.5569,Owned,63,"$6,252,179.22",1990,TRUE,FALSE,112
309,Quincey,27/08/2022,371.2518,Owned,12,"$9,038,815.50",1996,FALSE,FALSE,79
758,Attoc,2/01/2022,2629.7691,Leased,11,"$7,827,171.47",1998,FALSE,FALSE,77
653,Goulstone,13/12/2022,804.2871,Owned,12,"$7,724,973.72",1963,TRUE,FALSE,98
657,Hanes,10/02/2022,741.744,Owned,58,"$8,520,609.89",1988,TRUE,FALSE,78
441,Etches,24/08/2022,2289.782,Owned,24,"$5,285,526.51",1990,FALSE,TRUE,89
173,Boick,16/06/2022,685.3674,Owned,25,"$4,255,951.25",2009,TRUE,FALSE,77
437,Brumhead,21/09/2022,577.3337,Owned,7,"$7,125,584.54",1983,FALSE,FALSE,87
566,Jillis,20/10/2022,663.6149,Leased,46,"$1,892,211.49",1994,FALSE,TRUE,94
276,Swinney,11/10/2022,2705.2984,Leased,31,"$8,649,749.70",2012,FALSE,TRUE,100
397,Quant,25/05/2022,2264.5221,Leased,69,"$4,043,017.73",2011,TRUE,TRUE,105
889,Chapelle,31/08/2022,2833.1756,Owned,76,"$5,654,118.19",1995,TRUE,FALSE,79
854,Alforde,17/09/2022,1556.1538,Leased,6,"$5,823,546.66",1988,TRUE,FALSE,95
611,Mushawe,4/11/2022,2537.89,Owned,35,"$1,446,932.10",2012,TRUE,TRUE,117
625,Goldby,29/09/2022,39.1181,Owned,74,"$2,252,091.94",1999,FALSE,TRUE,81
728,Asif,18/10/2022,2470.2867,Owned,43,"$9,297,890.04",2007,TRUE,TRUE,89
134,Rehorek,10/04/2022,38.1047,Leased,61,"$3,883,628.78",2008,FALSE,TRUE,72
362,Polkinhorn,12/09/2022,2494.8839,Owned,51,"$3,904,203.72",2012,FALSE,FALSE,100
104,Valett,3/05/2022,2140.6534,Leased,22,"$3,703,047.35",1996,TRUE,FALSE,97
797,Benzies,4/12/2022,1008.615,Leased,32,"$6,075,586.67",2005,FALSE,FALSE,77
978,Dumper,16/04/2022,618.844,Leased,88,"$1,834,211.53",1995,FALSE,FALSE,96
176,Cosens,20/12/2021,1341.8755,Owned,95,"$9,064,467.47",2006,TRUE,TRUE,77
456,Wackly,19/02/2022,676.082,Leased,90,"$7,459,618.03",1992,FALSE,TRUE,85
294,Hummerston,14/11/2022,2437.1011,Leased,95,"$6,390,095.06",1984,TRUE,FALSE,90
943,Metzig,5/02/2022,124.7337,Leased,82,"$1,259,438.83",1993,FALSE,TRUE,87
603,Charlesworth,19/07/2022,762.0139,Owned,84,"$4,960,499.22",1999,FALSE,FALSE,94
985,Karpman,22/10/2022,686.6356,Owned,73,"$2,473,780.67",1998,TRUE,TRUE,86
499,Eddington,27/02/2022,1541.3402,Owned,55,"$8,283,291.63",2002,TRUE,FALSE,88
209,Morphey,26/10/2022,67.4591,Owned,44,"$669,049.90",2004,TRUE,TRUE,85
624,Worboy,14/08/2022,2796.1633,Leased,22,"$8,565,786.16",2006,FALSE,TRUE,87
192,Ikin,10/10/2022,846.7787,Leased,20,"$2,920,076.61",2005,FALSE,TRUE,95
995,Eyre,30/09/2022,2636.1678,Owned,17,"$4,034,184.46",2003,FALSE,FALSE,77
518,Ruddy,27/09/2022,2043.011,Owned,27,"$8,221,072.00",2005,FALSE,FALSE,78
708,Battrum,30/01/2022,483.2482,Leased,63,"$8,639,036.62",2003,TRUE,TRUE,86
374,St Ledger,30/09/2022,1685.5641,Owned,94,"$5,874,339.78",1998,TRUE,TRUE,102
338,Fores,4/04/2022,380.5612,Leased,6,"$8,038,744.53",2008,FALSE,TRUE,85
235,Jaquemar,5/06/2022,2896.1284,Owned,60,"$2,505,144.75",2012,FALSE,TRUE,80
868,Pietersen,29/07/2022,1905.7129,Owned,49,"$9,732,899.88",2012,TRUE,TRUE,91
933,Klousner,5/10/2022,798.734,Owned,80,"$1,541,456.08",2007,FALSE,FALSE,82
293,Greenshields,8/07/2022,1046.6415,Leased,35,"$9,947,774.07",1989,TRUE,TRUE,100
114,Droghan,24/06/2022,575.2787,Leased,58,"$826,141.14",2006,TRUE,TRUE,93
990,Wyllcock,12/02/2022,1629.4037,Owned,68,"$3,118,935.84",2012,TRUE,TRUE,81
949,Abbyss,10/07/2022,2501.2806,Owned,88,"$9,334,694.18",2006,TRUE,FALSE,73
313,Lawrenz,20/09/2022,2627.4924,Leased,10,"$4,549,731.85",1995,FALSE,TRUE,100
98,Bome,18/08/2022,709.0843,Leased,26,"$1,646,327.98",2004,TRUE,FALSE,90
315,Nassie,5/05/2022,2358.9269,Owned,95,"$9,530,402.71",2000,FALSE,FALSE,100
663,Rottger,30/04/2022,2264.7459,Leased,100,"$1,784,500.56",1995,FALSE,FALSE,87
665,Surcomb,21/09/2022,447.3748,Leased,94,"$8,619,636.81",1999,FALSE,FALSE,86
897,Riall,6/08/2022,2969.5957,Leased,62,"$1,855,714.35",1998,FALSE,FALSE,80
594,Parnell,24/07/2022,2547.2214,Leased,76,"$2,416,224.59",2004,FALSE,TRUE,83
803,O'Ferris,28/06/2022,874.4047,Leased,35,"$4,922,887.57",2000,FALSE,FALSE,82
758,Blaw,23/04/2022,2147.2173,Owned,68,"$1,012,746.02",2008,FALSE,FALSE,79
457,Asplen,14/03/2022,2819.2332,Leased,48,"$5,468,864.61",2002,TRUE,TRUE,86
165,Fewell,30/12/2021,735.9902,Leased,30,"$1,762,225.61",2005,FALSE,FALSE,98
375,Beelby,27/10/2022,2316.439,Owned,43,"$2,215,777.93",2005,TRUE,FALSE,81
355,Cornforth,11/08/2022,2215.7426,Leased,55,"$830,030.37",2002,TRUE,FALSE,93
437,Widdup,16/03/2022,1078.7489,Leased,17,"$1,840,027.09",2008,TRUE,FALSE,80
35,Langfield,12/11/2022,2547.5723,Owned,51,"$8,529,772.43",1994,TRUE,TRUE,91
126,Dain,29/07/2022,2517.8923,Leased,28,"$9,144,065.06",1987,TRUE,TRUE,89
961,Callister,26/03/2022,454.5074,Leased,54,"$1,654,257.32",1997,TRUE,TRUE,83
513,Lorenz,19/09/2022,1949.8261,Leased,42,"$3,036,267.92",2001,FALSE,FALSE,96
135,Cloney,5/08/2022,1722.8403,Leased,13,"$6,712,458.71",1976,TRUE,TRUE,92
268,Eppson,1/10/2022,2991.8905,Owned,24,"$7,568,663.50",1992,FALSE,FALSE,90
902,Cromb,2/05/2022,1124.4501,Owned,17,"$8,464,348.55",2011,TRUE,TRUE,93
14,Bohills,13/08/2022,519.6093,Owned,51,"$9,271,192.95",1991,TRUE,TRUE,106
915,Buist,9/01/2022,2854.8772,Owned,2,"$8,036,768.69",2002,FALSE,FALSE,81
563,Serotsky,30/10/2022,1406.322,Owned,81,"$130,159.60",2007,FALSE,TRUE,100
807,Kleeman,11/01/2022,726.0019,Leased,63,"$227,796.90",2009,FALSE,FALSE,93
921,Rumens,27/02/2022,1554.2568,Leased,61,"$7,502,638.62",2004,FALSE,FALSE,88
610,Mosedill,5/01/2022,1021.8699,Owned,83,"$5,012,474.25",1995,TRUE,TRUE,99
461,O'Sherrin,10/11/2022,2056.5417,Owned,3,"$4,543,552.50",1990,TRUE,FALSE,86
118,Bolf,1/02/2022,2588.4751,Owned,34,"$3,192,135.28",1998,FALSE,TRUE,87
620,Edgar,1/07/2022,2076.8976,Leased,70,"$2,102,057.14",1963,TRUE,TRUE,87
419,Lourens,18/07/2022,2645.2348,Owned,29,"$8,319,461.77",1990,TRUE,TRUE,99
828,Heinlein,17/05/2022,2836.3677,Leased,10,"$710,016.97",2008,TRUE,FALSE,89
161,Michell,13/12/2022,390.2471,Leased,48,"$4,165,203.27",1993,TRUE,FALSE,96
396,Ovens,12/11/2022,2524.804,Leased,78,"$6,916,773.28",1998,TRUE,FALSE,98
668,Huntingford,2/12/2022,2220.911,Leased,20,"$8,668,080.37",1993,TRUE,TRUE,91
723,Douglass,19/05/2022,1269.0144,Owned,5,"$4,804,820.35",2002,TRUE,TRUE,85
932,Duker,14/05/2022,1487.0258,Owned,91,"$6,452,894.29",2007,FALSE,FALSE,85
343,Wincer,1/04/2022,2533.7231,Owned,38,"$3,926,202.02",1992,FALSE,FALSE,99
184,Watman,20/06/2022,2344.7751,Owned,58,"$847,348.28",2011,TRUE,FALSE,99
954,Rossetti,6/02/2022,1876.0805,Leased,51,"$5,813,932.25",1993,TRUE,TRUE,116
352,Searsby,7/04/2022,1982.3078,Leased,98,"$1,334,089.39",2001,FALSE,FALSE,74
276,Lucien,1/05/2022,873.869,Leased,18,"$70,050.61",2008,TRUE,FALSE,83
17,Ridings,29/12/2021,259.4506,Leased,51,"$1,952,961.81",1995,TRUE,FALSE,96
347,Steagall,19/12/2022,2310.4773,Owned,12,"$9,547,221.36",2007,TRUE,TRUE,81
929,Durston,25/06/2022,1037.6126,Leased,12,"$7,816,842.71",1967,TRUE,FALSE,90
846,Stammers,30/07/2022,1845.9041,Leased,63,"$2,739,181.40",2007,FALSE,FALSE,79
929,Cowely,5/12/2022,1095.6816,Owned,30,"$4,217,413.70",2002,TRUE,FALSE,94
903,Dreghorn,2/06/2022,2596.3214,Leased,46,"$3,123,714.62",1995,TRUE,FALSE,98
433,D'Hooge,3/04/2022,1945.2684,Leased,98,"$9,054,303.13",2010,FALSE,FALSE,69
790,Jeroch,23/04/2022,1507.8031,Owned,39,"$1,693,492.85",2006,TRUE,TRUE,97
444,Springer,7/04/2022,2872.6027,Owned,20,"$7,815,399.94",2010,TRUE,FALSE,94
867,Kenna,29/01/2022,1076.7824,Owned,68,"$6,999,804.11",2012,FALSE,FALSE,91
276,Laws,17/11/2022,2847.8976,Owned,36,"$9,765,774.80",1998,TRUE,TRUE,94
147,Heimes,11/02/2022,1822.9676,Owned,68,"$309,776.86",1993,FALSE,FALSE,103
902,Bithany,24/12/2021,1044.0031,Leased,60,"$5,567,239.40",2005,FALSE,FALSE,80
785,Grierson,19/06/2022,2430.0934,Owned,94,"$7,661,867.58",1991,FALSE,TRUE,98
510,Jammes,15/05/2022,56.5399,Owned,45,"$8,452,432.80",1990,TRUE,FALSE,81
883,Bonelle,18/09/2022,601.8253,Owned,50,"$7,985,772.82",2001,TRUE,TRUE,72
641,Macci,28/06/2022,657.4615,Owned,58,"$6,243,821.21",1989,TRUE,TRUE,96
927,Widdall,20/07/2022,2965.4162,Owned,66,"$82,397.61",1985,TRUE,FALSE,97
923,Isbell,28/04/2022,1959.5548,Leased,69,"$9,299,295.13",1987,FALSE,FALSE,87
36,Worledge,16/12/2022,221.0982,Owned,50,"$9,924,165.02",2011,FALSE,FALSE,94
241,Cobbald,2/05/2022,866.6178,Leased,26,"$6,728,951.80",2008,TRUE,FALSE,89
804,Kubista,6/11/2022,514.7229,Leased,41,"$1,781,031.38",2006,TRUE,TRUE,98
803,Mordin,7/04/2022,2645.7125,Leased,9,"$4,270,372.72",1994,TRUE,FALSE,88
913,Zeal,17/06/2022,2192.5742,Owned,93,"$4,917,125.34",2008,TRUE,FALSE,94
736,Teml,4/06/2022,2904.2211,Owned,86,"$1,444,426.64",2012,TRUE,TRUE,83
955,Djakovic,16/11/2022,2210.2648,Leased,48,"$2,645,222.36",1997,FALSE,FALSE,111
946,Elfitt,7/08/2022,1237.3134,Owned,49,"$8,391,839.54",1999,FALSE,TRUE,110
60,Bonicelli,21/11/2022,782.3196,Leased,82,"$9,943,586.75",2006,FALSE,FALSE,96
725,Hadfield,15/04/2022,1153.969,Leased,8,"$5,552,965.04",2002,TRUE,FALSE,86
99,Blackborne,7/12/2022,2731.0787,Owned,9,"$7,073,132.19",1995,FALSE,TRUE,96
631,Burrass,7/10/2022,1883.3179,Leased,8,"$9,677,684.54",2011,FALSE,FALSE,88
633,Prevett,6/05/2022,2616.2479,Leased,42,"$5,673,115.29",1995,FALSE,FALSE,90
388,Cliff,13/11/2022,2067.592,Leased,44,"$8,349,052.15",2012,FALSE,FALSE,75
568,Geerits,15/08/2022,2683.2576,Owned,63,"$8,872,722.06",1997,TRUE,FALSE,104
99,Reignolds,5/11/2022,2941.1671,Leased,68,"$7,033,433.59",1990,FALSE,TRUE,73
408,Smalridge,18/03/2022,1662.8133,Owned,33,"$9,180,007.02",1999,FALSE,TRUE,93
22,Byng,6/05/2022,683.8698,Owned,43,"$8,694,854.62",2008,FALSE,FALSE,84
630,Lacroix,2/07/2022,1868.7725,Leased,87,"$1,829,884.39",2012,FALSE,TRUE,108
453,Ringham,1/10/2022,214.663,Owned,67,"$8,471,149.11",2010,TRUE,TRUE,107
909,Tabour,25/08/2022,1271.3973,Leased,33,"$6,591,865.50",2000,TRUE,TRUE,84
653,Siggin,12/03/2022,2515.6158,Leased,2,"$9,892,336.22",2001,FALSE,FALSE,88
106,Garbott,19/01/2022,2492.549,Leased,57,"$6,001,806.73",2005,TRUE,TRUE,82
952,Roux,11/09/2022,603.351,Owned,7,"$7,487,367.94",1997,FALSE,FALSE,68
351,Deek,21/06/2022,1934.7277,Leased,59,"$4,092,597.59",1988,FALSE,TRUE,87
607,Colleer,14/08/2022,2606.6485,Leased,92,"$7,530,929.46",2005,FALSE,TRUE,104
300,Tale,16/08/2022,1022.7046,Owned,43,"$2,293,335.39",2008,TRUE,FALSE,84
606,Compfort,28/01/2022,1091.0789,Owned,50,"$7,192,777.51",1985,FALSE,TRUE,98
589,Rymmer,15/04/2022,1610.6504,Leased,76,"$3,623,553.51",1993,TRUE,TRUE,79
109,Newvill,15/08/2022,193.198,Leased,91,"$9,756,689.36",2013,TRUE,FALSE,80
690,Geater,15/07/2022,1811.0855,Leased,58,"$8,628,366.24",1991,TRUE,FALSE,71
493,Balme,8/11/2022,2222.9011,Owned,35,"$1,637,017.25",2002,TRUE,TRUE,92
706,Attridge,9/11/2022,1963.2361,Owned,43,"$6,279,791.27",1988,FALSE,FALSE,103
538,Tewnion,8/04/2022,812.2612,Owned,77,"$7,760,055.78",2010,TRUE,FALSE,83
263,Wagerfield,10/12/2022,2249.9488,Owned,82,"$2,246,505.67",1997,FALSE,TRUE,91
273,Fearenside,11/03/2022,2848.1279,Owned,55,"$7,244,640.49",2005,TRUE,TRUE,89
237,Zorzi,17/12/2022,2716.536,Owned,90,"$6,916,589.95",2009,FALSE,FALSE,83
907,Riccardini,13/04/2022,1552.1626,Leased,40,"$7,775,982.97",2010,FALSE,FALSE,93
939,Goldup,22/07/2022,1194.1899,Owned,30,"$1,203,920.49",2010,TRUE,TRUE,88
983,Bickers,25/08/2022,1272.8873,Owned,60,"$2,679,785.73",2000,TRUE,TRUE,93
404,Doding,16/12/2022,1371.6126,Leased,27,"$6,380,093.34",1994,TRUE,FALSE,98
829,McGow,19/09/2022,617.3278,Owned,57,"$8,664,061.30",1977,FALSE,FALSE,86
322,Atwill,27/11/2022,1720.3945,Owned,40,"$3,305,390.52",2000,TRUE,FALSE,83
621,Fonteyne,18/06/2022,1973.8388,Owned,67,"$4,150,495.44",2008,TRUE,FALSE,99
64,Saggers,9/02/2022,2891.503,Leased,81,"$5,450,149.30",1997,FALSE,TRUE,80
443,Farlam,24/09/2022,2940.5659,Leased,99,"$1,552,390.12",2000,FALSE,TRUE,102
484,Maseres,6/10/2022,1263.6829,Owned,73,"$9,482,803.99",1985,TRUE,TRUE,87
259,Chavez,21/02/2022,573.3887,Owned,61,"$8,711,880.11",2010,FALSE,TRUE,94
917,Dudeney,10/11/2022,333.4438,Owned,100,"$2,399,704.87",1995,TRUE,TRUE,82
648,Stansfield,2/04/2022,2766.9963,Leased,10,"$8,930,332.62",2008,TRUE,FALSE,96
294,Rattenbury,30/08/2022,444.8561,Owned,83,"$2,068,871.52",2003,TRUE,TRUE,101
896,Farriar,16/06/2022,2806.4405,Owned,98,"$5,387,900.46",1990,TRUE,FALSE,84
566,Sorrell,3/02/2022,281.2651,Leased,22,"$5,466,783.40",2009,TRUE,FALSE,90
297,Hassall,17/02/2022,881.7852,Leased,97,"$4,903,647.41",2009,FALSE,TRUE,84
213,Downes,23/03/2022,416.6792,Leased,73,"$1,365,991.08",2008,FALSE,FALSE,96
35,Balnaves,29/05/2022,1437.5461,Leased,41,"$5,389,243.49",2002,FALSE,TRUE,82
909,Crowth,24/01/2022,2296.6346,Owned,83,"$8,272,331.86",1986,TRUE,TRUE,89
592,Bunner,6/06/2022,2628.694,Leased,7,"$2,686,463.73",2005,TRUE,TRUE,89
7,Fulford,28/01/2022,1667.0597,Owned,11,"$5,271,328.23",2007,TRUE,TRUE,78
814,Saffen,15/08/2022,2499.1959,Leased,21,"$7,469,217.81",2000,FALSE,FALSE,89
63,Philippe,17/02/2022,2828.7933,Owned,14,"$7,291,307.62",2001,TRUE,FALSE,85
408,Chambers,19/09/2022,622.8933,Owned,40,"$7,224,489.87",1996,TRUE,FALSE,70
770,Boultwood,22/05/2022,2994.0885,Leased,71,"$9,678,949.14",1999,FALSE,FALSE,82
169,Yaakov,21/06/2022,2560.0397,Leased,43,"$7,253,410.17",2007,FALSE,TRUE,83
417,Coughtrey,4/05/2022,2608.0879,Leased,84,"$3,164,923.64",1990,TRUE,TRUE,73
892,Renard,29/01/2022,2684.5166,Owned,32,"$7,549,918.60",2008,FALSE,TRUE,96
363,McKoy,2/04/2022,1871.5915,Owned,14,"$1,859,372.83",1995,FALSE,FALSE,82
627,Moreno,11/04/2022,1505.0143,Owned,85,"$2,248,829.49",2004,TRUE,TRUE,89
992,Bagby,16/02/2022,1872.9446,Owned,56,"$785,543.12",1996,TRUE,TRUE,86
822,Huggett,21/09/2022,1049.3504,Owned,84,"$8,288,729.17",1993,FALSE,FALSE,83
335,Castanone,17/06/2022,2060.0498,Owned,31,"$9,948,165.81",2012,FALSE,FALSE,85
318,Veronique,22/11/2022,407.4805,Leased,72,"$1,878,858.13",2006,FALSE,FALSE,83
759,Jermy,17/06/2022,1318.4657,Leased,42,"$4,256,159.11",2005,FALSE,FALSE,90
263,Francino,21/03/2022,1241.7067,Owned,20,"$9,437,902.02",1992,FALSE,TRUE,79
673,Spreadbury,1/06/2022,2195.6218,Leased,96,"$6,841,266.90",2001,FALSE,FALSE,87
844,Snodin,11/03/2022,1589.3317,Owned,17,"$7,083,411.47",1997,TRUE,FALSE,79
126,Esbrook,30/06/2022,712.736,Leased,47,"$9,653,037.53",1992,TRUE,FALSE,90
983,Rumbellow,13/03/2022,1151.469,Leased,91,"$2,623,066.72",2005,FALSE,TRUE,91
1,Rampley,12/08/2022,2446.4529,Owned,4,"$2,852,096.73",2001,FALSE,TRUE,80
216,Gunderson,5/08/2022,1687.9733,Owned,14,"$3,795,132.73",2004,FALSE,TRUE,82
758,Salasar,4/12/2022,601.8993,Owned,43,"$1,476,309.28",1996,FALSE,TRUE,97
826,Lawley,16/05/2022,2552.1658,Leased,26,"$7,122,016.79",2008,TRUE,FALSE,97
156,Blanchet,13/09/2022,1327.8565,Leased,52,"$775,981.05",2004,TRUE,FALSE,95
796,Goldine,24/12/2021,1072.9431,Owned,22,"$3,955,950.83",2007,TRUE,TRUE,91
383,Gland,18/11/2022,542.3735,Leased,47,"$7,245,244.83",1994,FALSE,TRUE,81
903,Riceards,18/09/2022,2197.6871,Owned,100,"$6,480,985.26",2009,TRUE,FALSE,82
203,Goschalk,25/12/2021,600.4188,Owned,16,"$3,417,449.89",2006,TRUE,FALSE,100
959,Galletley,29/09/2022,1583.4412,Owned,2,"$7,547,549.74",2012,TRUE,FALSE,108
280,Downham,13/10/2022,2833.1438,Leased,15,"$2,743,590.59",1970,TRUE,TRUE,87
521,Dikels,7/05/2022,1364.3624,Owned,16,"$2,887,808.86",1993,TRUE,FALSE,108
474,Noto,19/09/2022,1958.4975,Owned,76,"$6,394,230.73",2002,TRUE,TRUE,91
113,Pervoe,5/07/2022,2273.7277,Owned,80,"$4,161,527.47",2008,TRUE,FALSE,93
362,Pesselt,27/12/2021,1384.3211,Leased,36,"$8,883,812.80",2007,FALSE,FALSE,100
241,Drohane,13/11/2022,2106.2471,Owned,21,"$4,533,734.08",1995,FALSE,FALSE,78
870,Godleman,29/11/2022,264.7196,Leased,67,"$7,642,075.70",2005,FALSE,TRUE,86
459,Hunnicutt,2/11/2022,647.0158,Leased,12,"$8,433,973.92",2007,FALSE,FALSE,83
928,Consadine,20/03/2022,2018.5156,Leased,41,"$7,697,832.93",2004,FALSE,TRUE,86
682,McGeneay,29/06/2022,105.5504,Owned,50,"$5,419,735.25",2005,TRUE,TRUE,101
148,Oakwood,5/12/2022,1152.5691,Leased,53,"$7,586,762.64",2004,FALSE,FALSE,77
57,Manie,23/03/2022,2292.1151,Leased,96,"$3,762,975.11",2003,FALSE,FALSE,84
244,Zolini,21/07/2022,947.7065,Leased,32,"$4,838,746.44",2009,FALSE,FALSE,85
441,Pillman,19/01/2022,2083.5328,Leased,17,"$3,766,574.94",1998,TRUE,FALSE,99
864,Weippert,19/02/2022,1638.7851,Owned,18,"$8,198,216.71",1998,TRUE,TRUE,97
540,Pifford,19/10/2022,332.5665,Leased,21,"$1,499,001.61",2013,TRUE,FALSE,73
243,Iapico,26/09/2022,679.9882,Leased,15,"$7,679,608.38",1997,TRUE,TRUE,72
910,Clubbe,17/08/2022,2233.1329,Leased,6,"$4,512,559.96",1992,FALSE,TRUE,76
364,Glandfield,20/04/2022,2261.7131,Leased,4,"$7,689,914.84",1986,TRUE,FALSE,88
66,Huxham,29/03/2022,364.6697,Owned,34,"$380,805.06",1978,FALSE,FALSE,109
645,Fitchew,22/05/2022,2146.3793,Leased,3,"$2,323,710.03",2009,TRUE,TRUE,80
14,Cuttles,28/10/2022,223.1032,Owned,4,"$7,973,395.56",1992,FALSE,TRUE,89
393,Tregust,21/04/2022,73.9671,Leased,24,"$2,973,866.04",1985,TRUE,FALSE,85
686,O'Heffernan,20/02/2022,1053.5715,Leased,62,"$4,202,478.66",1996,TRUE,FALSE,101
489,Ravenhills,13/12/2022,1806.4158,Leased,33,"$2,767,186.98",1995,TRUE,FALSE,104
105,Manser,1/05/2022,1086.6238,Owned,41,"$7,154,412.81",2009,TRUE,TRUE,104
634,Alven,28/09/2022,1454.6657,Leased,50,"$1,882,594.65",2007,TRUE,FALSE,93
761,Matantsev,15/09/2022,2307.5842,Leased,77,"$5,185,530.83",2006,FALSE,TRUE,80
779,Varnham,1/08/2022,258.7714,Owned,86,"$2,724,606.95",2006,TRUE,TRUE,99
526,Acomb,9/04/2022,951.3594,Leased,96,"$8,443,682.15",2007,TRUE,FALSE,105
839,Barling,18/03/2022,1828.3522,Leased,48,"$8,253,101.07",2012,FALSE,FALSE,79
108,Hebbron,6/10/2022,2582.2369,Owned,25,"$8,111,918.81",2010,TRUE,FALSE,88
326,Covolini,31/10/2022,2408.8929,Owned,54,"$8,123,091.96",2005,TRUE,TRUE,92
163,Oxton,11/04/2022,2720.1574,Owned,40,"$7,793,533.25",1970,TRUE,TRUE,92
792,Sanham,21/06/2022,2704.3986,Owned,48,"$6,258,159.55",2012,TRUE,TRUE,89
919,Bolter,6/07/2022,785.6149,Owned,14,"$703,906.95",1989,FALSE,TRUE,101
951,Garms,2/06/2022,967.5926,Leased,24,"$7,794,196.75",2013,TRUE,TRUE,79
965,Linkin,25/03/2022,2235.2803,Owned,1,"$1,999,964.86",2008,FALSE,TRUE,80
665,Scotting,12/01/2022,2148.7986,Leased,8,"$4,060,596.97",2009,FALSE,TRUE,85
50,Capell,5/05/2022,2041.76,Leased,21,"$3,763,757.93",1994,FALSE,TRUE,86
100,Dudding,13/09/2022,2901.7735,Leased,69,"$3,244,355.69",2001,FALSE,FALSE,105
239,Antonovic,8/10/2022,828.3099,Owned,86,"$3,282,252.21",2006,FALSE,TRUE,109
591,Jenner,17/09/2022,2131.2061,Owned,58,"$7,771,979.84",1971,TRUE,TRUE,91
